Município ID,Município,Ano,Índice de Envelhecimento
4303202,Cacique Doble - RS,2010,71.09
4303202,Cacique Doble - RS,2022,143.64
4303301,Caibaté - RS,2010,89.10
4303301,Caibaté - RS,2022,170.19
4303400,Caiçara - RS,2010,87.53
4303400,Caiçara - RS,2022,173.02
4303509,Camaquã - RS,2010,63.92
4303509,Camaquã - RS,2022,112.10
4303558,Camargo - RS,2010,93.96
4303558,Camargo - RS,2022,132.68
4303608,Cambará do Sul - RS,2010,51.21
4303608,Cambará do Sul - RS,2022,94.67
4303673,Campestre da Serra - RS,2010,80.18
4303673,Campestre da Serra - RS,2022,173.47
4303707,Campina das Missões - RS,2010,122.47
4303707,Campina das Missões - RS,2022,207.94
4303806,Campinas do Sul - RS,2010,108.81
4303806,Campinas do Sul - RS,2022,186.40
4303905,Campo Bom - RS,2010,46.54
4303905,Campo Bom - RS,2022,95.75
4304002,Campo Novo - RS,2010,69.71
4304002,Campo Novo - RS,2022,117.19
4304101,Campos Borges - RS,2010,92.08
4304101,Campos Borges - RS,2022,151.91
4304200,Candelária - RS,2010,77.85
4304200,Candelária - RS,2022,134.32
4304309,Cândido Godói - RS,2010,107.87
4304309,Cândido Godói - RS,2022,185.96
4304358,Candiota - RS,2010,31.66
4304358,Candiota - RS,2022,65.90
4304408,Canela - RS,2010,42.07
4304408,Canela - RS,2022,72.64
4304507,Canguçu - RS,2010,79.64
4304507,Canguçu - RS,2022,147.39
4304606,Canoas - RS,2010,51.25
4304606,Canoas - RS,2022,95.50
4304614,Canudos do Vale - RS,2010,124.46
4304614,Canudos do Vale - RS,2022,248.26
4304622,Capão Bonito do Sul - RS,2010,85.52
4304622,Capão Bonito do Sul - RS,2022,137.58
4304630,Capão da Canoa - RS,2010,43.16
4304630,Capão da Canoa - RS,2022,83.09
4304655,Capão do Cipó - RS,2010,56.74
4304655,Capão do Cipó - RS,2022,119.37
4304663,Capão do Leão - RS,2010,46.57
4304663,Capão do Leão - RS,2022,82.93
4304671,Capivari do Sul - RS,2010,48.76
4304671,Capivari do Sul - RS,2022,100.82
4304689,Capela de Santana - RS,2010,45.68
4304689,Capela de Santana - RS,2022,94.83
4304697,Capitão - RS,2010,82.49
4304697,Capitão - RS,2022,130.94
4304705,Carazinho - RS,2010,67.53
4304705,Carazinho - RS,2022,106.86
4304713,Caraá - RS,2010,102.77
4304713,Caraá - RS,2022,172.70
4304804,Carlos Barbosa - RS,2010,72.48
4304804,Carlos Barbosa - RS,2022,115.82
4304853,Carlos Gomes - RS,2010,106.14
4304853,Carlos Gomes - RS,2022,209.14
4304903,Casca - RS,2010,102.31
4304903,Casca - RS,2022,156.00
4304952,Caseiros - RS,2010,76.59
4304952,Caseiros - RS,2022,124.91
4305009,Catuípe - RS,2010,108.89
4305009,Catuípe - RS,2022,170.64
4305108,Caxias do Sul - RS,2010,53.62
4305108,Caxias do Sul - RS,2022,104.62
4305116,Centenário - RS,2010,116.05
4305116,Centenário - RS,2022,206.04
4305124,Cerrito - RS,2010,95.49
4305124,Cerrito - RS,2022,177.44
4305132,Cerro Branco - RS,2010,99.38
4305132,Cerro Branco - RS,2022,234.32
4305157,Cerro Grande - RS,2010,78.35
4305157,Cerro Grande - RS,2022,141.09
4305173,Cerro Grande do Sul - RS,2010,43.10
4305173,Cerro Grande do Sul - RS,2022,95.73
4305207,Cerro Largo - RS,2010,84.45
4305207,Cerro Largo - RS,2022,145.61
4305306,Chapada - RS,2010,107.33
4305306,Chapada - RS,2022,160.15
4305355,Charqueadas - RS,2010,54.97
4305355,Charqueadas - RS,2022,108.69
4305371,Charrua - RS,2010,52.81
4305371,Charrua - RS,2022,140.53
4305405,Chiapetta - RS,2010,72.69
4305405,Chiapetta - RS,2022,125.07
4305439,Chuí - RS,2010,49.04
4305439,Chuí - RS,2022,88.49
4305447,Chuvisca - RS,2010,45.40
4305447,Chuvisca - RS,2022,100.25
4305454,Cidreira - RS,2010,81.40
4305454,Cidreira - RS,2022,161.09
4305504,Ciríaco - RS,2010,97.06
4305504,Ciríaco - RS,2022,179.17
4305587,Colinas - RS,2010,189.51
4305587,Colinas - RS,2022,201.37
4305603,Colorado - RS,2010,132.62
4305603,Colorado - RS,2022,204.31
4305702,Condor - RS,2010,68.21
4305702,Condor - RS,2022,112.22
4305801,Constantina - RS,2010,77.63
4305801,Constantina - RS,2022,120.62
4305835,Coqueiro Baixo - RS,2010,213.81
4305835,Coqueiro Baixo - RS,2022,358.57
4305850,Coqueiros do Sul - RS,2010,106.10
4305850,Coqueiros do Sul - RS,2022,193.29
4305871,Coronel Barros - RS,2010,135.95
4305871,Coronel Barros - RS,2022,165.38
4305900,Coronel Bicaco - RS,2010,64.27
4305900,Coronel Bicaco - RS,2022,118.16
4305934,Coronel Pilar - RS,2010,164.02
4305934,Coronel Pilar - RS,2022,319.43
4305959,Cotiporã - RS,2010,154.43
4305959,Cotiporã - RS,2022,246.81
4305975,Coxilha - RS,2010,56.57
4305975,Coxilha - RS,2022,106.51
4306007,Crissiumal - RS,2010,100.60
